"NUM_PLACA","TIPO","ENDERECO","SENTIDO","LONGITUDE","LATITUDE","LINK","GABARITO"
"684","FRONT LIGHT","AV. ANTONIIO SALES ESQ. RUA JOSE VILAR -","AC. COCO","-3.7439921","-38.5071409","https://www.google.com.br/Front-684","https://drive.google.com/Gabarito-684"
"686","FRONT LIGHT","AV. SEN. FERNANDES TAVORA AC. AV. LINEU MACHADO - .4","AC. H. JOR","-3.7659122","-38.5753473","https://www.google.com.br/Front-686","https://drive.google.com/Gabarito-686"
"688","FRONT LIGHT","AV. ABOLIÇÃO. ANTES DA IGREJA NSA. SRA. DA SAÚDE","AC. NAUTICO ATLANTICO CEARENSE","-3.724581","-38.482614","https://www.google.com.br/Front-688","https://drive.google.com/Gabarito-688"
"691","MEGA FRONT","EUSEBIO - ROD. CE - 040 EM FRENTE COL. FARIAS BRITO BABY","ACESSO AO SHOPPING EUSEBIO","-3.8663348","-38.4688683","https://www.google.com.br/MegaFront-691","https://drive.google.com/Gabarito-691"
"696","MEGA FRONT","CE 040 - EM FRENTE COL. FARIAS BRITO BABY. ACESSO FORTALEZA","EUSEBIO","-3.8663348","-38.4688683","https://www.google.com.br/MegaFront-696","https://drive.google.com/Gabarito-696"
"697","FRONT LIGHT","VIA EXPRESSA. PRÓX. COL. CHRISTUS","ACESSO RAUL BARBAOSA - 2","-3.7510644","-38.4954176","https://www.google.com.br/Front-697","https://drive.google.com/Gabarito-697"
"698","FRONT LIGHT","AV. LUCIANO CARNEIRO. EM FRENTE REST. CARAVELLE","SENTIDO MONTESE","-3.7650679","-38.5366866","https://www.google.com.br/Front-698","https://drive.google.com/Gabarito-698"
"01","PAINEL LED","AV. AGUANAMBI. 1170 - FÁTIMA. FORTALEZA - CE","CENTRO / BR 116","-3.7471056","-38.5249019","https://www.google.com.br/LedAguanambi","https://drive.google.com/Gabarito-Aguanambi"
"02","PAINEL LED","AV. BEIRA MAR. 4258 - MUCURIPE. FORTALEZA - CE","BEIRA-MAR / MERCADO DOS PEIXES","-3.7230148","-38.4833494","https://www.google.com.br/LedBeiraMar","https://drive.google.com/Gabarito-BeiraMar"
"03","PAINEL LED","AV. WASHINGTON SOARES. 1850 - EDSON QUEIROZ. FORTALEZA - CE","MESSEJANA","-3.7746524","-38.4818407","https://www.google.com.br/LedEmpenaWS","https://drive.google.com/Gabarito-EmpenaWS"
"04","PAINEL LED","AV. DESEMBARGADOR MOREIRA. 1647 - ALDEOTA. FORTALEZA - CE","BEIRA MAR","-3.7406497","-38.4997182","https://www.google.com.br/LedDesembargadorMoreira","https://drive.google.com/Gabarito-DesMoreira"
"05","PAINEL LED","AV. PONTES VIEIRA. 2112 - DIONÍSIO TORRES. FORTALEZA - CE","13º DE MAIO / AV. SENADOR VIRGILIO TAVORA","-3.7514668","-38.5023355","https://www.google.com.br/LedPontesVieira","https://drive.google.com/Gabarito-PontesVieira"
"06","PAINEL LED","AV. SANTOS DUMONT. 3130 - ALDEOTA. FORTALEZA - CE","PRAIA DO FUTURO","-3.736844","-38.496458","https://www.google.com.br/LedSantosDumont","https://drive.google.com/Gabarito-SantosDumont"
"07","PAINEL LED","AV. DOM LUIS. 1350 - ALDEOTA. FORTALEZA - CE","ALDEOTA / CENTRO","-3.7359013","-38.4893656","https://www.google.com.br/LedDomLuis","https://drive.google.com/Gabarito-DomLuis"
"08","PAINEL LED","RUA PROFESSOR OTÁVIO LOBO. 755 - COCÓ. FORTALEZA - CE","CENTRO DE EVENTOS / UNIFOR","-3.7465752","-38.4798015","https://www.google.com.br/LedPortugalia","https://drive.google.com/Gabarito-Portugalia"
"09","PAINEL LED","Av. WASHINGTON SOARES. 300 - GUARARAPES. FORTALEZA - CE","CENTRO DE EVENTOS / UNIFOR","-3.7578064","-38.4886071","https://www.google.com.br/LedIguatemi","https://drive.google.com/Gabarito-Iguatemi"
"10","PAINEL LED","AV. TREZE DE MAIO. 406 - FÁTIMA, FORTALEZA - CE","AV. PONTES VIEIRA","-3.7528732","-38.5251531","https://www.google.com.br/Led13deMaio","https://drive.google.com/Gabarito-13deMaio"
"11","PAINEL LED","AV. TRISTÃO GONÇALVES. 1074 - CENTRO. FORTALEZA - CE","SENTIDO DUQUE DE CAXIAS","-3.7305393","-38.5342469","https://www.google.com.br/LedAcalCentro","https://drive.google.com/Gabarito-AcalCentro"
"12","PAINEL LED","AV. DESEMBARGADOR MOREIRA. 2211 - DIONÍSIO TORRES. FORTALEZA - CE","SENTIDO PRAIA","-3.744275","-38.5008897","https://www.google.com.br/LedAcalDesMoreira","https://drive.google.com/Gabarito-AcalDesMoreira"
"13","PAINEL LED","AV. ANTÔNIO SALES. 1777 - JOAQUIM TÁVORA. FORTALEZA - CE","PRAÇA DA IMPRENSA","-3.743687","-38.5081236","https://www.google.com.br/LedAntonioSales","https://drive.google.com/Gabarito-AntonioSales"
"14","PAINEL LED","AV. WASHINGTON SOARES. 9470 - GUAJIRU. FORTALEZA - CE","SENTIDO EUSEBIO","-3.834062","-38.482598","https://www.google.com.br/LedWashingtonSoares","https://drive.google.com/Gabarito-Washington-Soares"
